message_type,occurence_timestamp,timeStampUTC,author,content,message,emoji,text_content
Chat Message,3:47:56,2026-01-24 11:13:21.420344,@Pabboii,"{'message': 'skor ', 'emoji': [], 'text_content': 'skor '}",skor ,[],skor 
Chat Message,3:47:56,2026-01-24 11:13:21.565237,@saifulamirul8931,"{'message': 'Go AE ', 'emoji': [], 'text_content': 'Go AE '}",Go AE ,[],Go AE 
Chat Message,3:47:56,2026-01-24 11:13:21.584054,@FachrizaAlkif,"{'message': 'AE BOT ', 'emoji': [], 'text_content': 'AE BOT '}",AE BOT ,[],AE BOT 
Chat Message,3:47:56,2026-01-24 11:13:21.652464,@unosdostresquatrosingko,"{'message': 'ae bot ', 'emoji': [], 'text_content': 'ae bot '}",ae bot ,[],ae bot 
Chat Message,3:47:57,2026-01-24 11:13:22.590781,@ilaikazulfaa0609,"{'message': 'SABAAARRRRRR ', 'emoji': [], 'text_content': 'SABAAARRRRRR '}",SABAAARRRRRR ,[],SABAAARRRRRR 
Chat Message,3:47:57,2026-01-24 11:13:22.531699,@NaJaemin-m8s,"{'message': 'nt ae ', 'emoji': [], 'text_content': 'nt ae '}",nt ae ,[],nt ae 
Chat Message,3:47:57,2026-01-24 11:13:22.560390,@Denis-vzyc,"{'message': 'AE JAGO BANGET ', 'emoji': [], 'text_content': 'AE JAGO BANGET '}",AE JAGO BANGET ,[],AE JAGO BANGET 
Chat Message,3:47:57,2026-01-24 11:13:22.732562,@mhdfarhan4171,"{'message': 'sabarrrr ', 'emoji': [], 'text_content': 'sabarrrr '}",sabarrrr ,[],sabarrrr 
Chat Message,3:47:57,2026-01-24 11:13:22.847797,@YuKus-q5h,"{'message': 'RRQ PULANG ', 'emoji': [], 'text_content': 'RRQ PULANG '}",RRQ PULANG ,[],RRQ PULANG 
Chat Message,3:47:58,2026-01-24 11:13:22.964218,@vinnnn123,"{'message': 'AE ayam ', 'emoji': [], 'text_content': 'AE ayam '}",AE ayam ,[],AE ayam 
Chat Message,3:47:58,2026-01-24 11:13:23.075345,@fransiskaschurmans4047,"{'message': 'bismillah menang ae ', 'emoji': [], 'text_content': 'bismillah menang ae '}",bismillah menang ae ,[],bismillah menang ae 
Chat Message,3:47:58,2026-01-24 11:13:23.043229,@RendyBarokah,"{'message': 'ae jago ', 'emoji': [], 'text_content': 'ae jago '}",ae jago ,[],ae jago 
